k,silhouette,davies_bouldin,inertia
3,0.07063833407863515,3.012169778447357,17656.28590550726
4,0.07126082269237756,2.832125132793395,16994.172662499655
5,0.05837229615546048,3.0582375519064264,16553.40468486175
6,0.05571913215665267,3.049753041420772,16152.639135376243
